TERYT;Wojewodztwo;Powiat;Gmina;Rodzaj gminy;Nazwa;Nazwa typu jednostki;Stan na 
0811082;08;11;08;2;Trzebiel;gmina wiejska;2010-01-01
0811092;08;11;09;2;Tuplice;gmina wiejska;2010-01-01
0811102;08;11;10;2;Żary;gmina wiejska;2010-01-01
0812000;08;12;00;0;wschowski;powiat;2010-01-01
0812013;08;12;01;3;Sława;gmina miejsko-wiejska;2010-01-01
0812014;08;12;01;4;Sława;miasto;2010-01-01
0812015;08;12;01;5;Sława;obszar wiejski;2010-01-01
0812023;08;12;02;3;Szlichtyngowa;gmina miejsko-wiejska;2010-01-01
0812024;08;12;02;4;Szlichtyngowa;miasto;2010-01-01
0812025;08;12;02;5;Szlichtyngowa;obszar wiejski;2010-01-01
0812033;08;12;03;3;Wschowa;gmina miejsko-wiejska;2010-01-01
0812034;08;12;03;4;Wschowa;miasto;2010-01-01
0812035;08;12;03;5;Wschowa;obszar wiejski;2010-01-01
0861000;08;61;00;0;Gorzów Wielkopolski;miasto na prawach powiatu;2010-01-01
0861011;08;61;01;1;Gorzów Wielkopolski;gmina miejska;2010-01-01
0862000;08;62;00;0;Zielona Góra;miasto na prawach powiatu;2010-01-01
0862011;08;62;01;1;Zielona Góra;gmina miejska;2010-01-01
1000000;10;00;00;0;ŁÓDZKIE;województwo;2010-01-01
1001000;10;01;00;0;bełchatowski;powiat;2010-01-01
1001011;10;01;01;1;Bełchatów;gmina miejska;2010-01-01
1001022;10;01;02;2;Bełchatów;gmina wiejska;2010-01-01
1001032;10;01;03;2;Drużbice;gmina wiejska;2010-01-01
1001042;10;01;04;2;Kleszczów;gmina wiejska;2010-01-01
1001052;10;01;05;2;Kluki;gmina wiejska;2010-01-01
1001062;10;01;06;2;Rusiec;gmina wiejska;2010-01-01
1001072;10;01;07;2;Szczerców;gmina wiejska;2010-01-01
1001083;10;01;08;3;Zelów;gmina miejsko-wiejska;2010-01-01
1001084;10;01;08;4;Zelów;miasto;2010-01-01
1001085;10;01;08;5;Zelów;obszar wiejski;2010-01-01
1002000;10;02;00;0;kutnowski;powiat;2010-01-01
1002011;10;02;01;1;Kutno;gmina miejska;2010-01-01
1002022;10;02;02;2;Bedlno;gmina wiejska;2010-01-01
1002032;10;02;03;2;Dąbrowice;gmina wiejska;2010-01-01
1002043;10;02;04;3;Krośniewice;gmina miejsko-wiejska;2010-01-01
1002044;10;02;04;4;Krośniewice;miasto;2010-01-01
1002045;10;02;04;5;Krośniewice;obszar wiejski;2010-01-01
1002052;10;02;05;2;Krzyżanów;gmina wiejska;2010-01-01
1002062;10;02;06;2;Kutno;gmina wiejska;2010-01-01
1002072;10;02;07;2;Łanięta;gmina wiejska;2010-01-01
1002082;10;02;08;2;Nowe Ostrowy;gmina wiejska;2010-01-01
1002092;10;02;09;2;Oporów;gmina wiejska;2010-01-01
1002102;10;02;10;2;Strzelce;gmina wiejska;2010-01-01
1002113;10;02;11;3;Żychlin;gmina miejsko-wiejska;2010-01-01
1002114;10;02;11;4;Żychlin;miasto;2010-01-01
1002115;10;02;11;5;Żychlin;obszar wiejski;2010-01-01
1003000;10;03;00;0;łaski;powiat;2010-01-01
1003012;10;03;01;2;Buczek;gmina wiejska;2010-01-01
1003023;10;03;02;3;Łask;gmina miejsko-wiejska;2010-01-01
1003024;10;03;02;4;Łask;miasto;2010-01-01
1003025;10;03;02;5;Łask;obszar wiejski;2010-01-01
1003032;10;03;03;2;Sędziejowice;gmina wiejska;2010-01-01
1003042;10;03;04;2;Widawa;gmina wiejska;2010-01-01
1003052;10;03;05;2;Wodzierady;gmina wiejska;2010-01-01
1004000;10;04;00;0;łęczycki;powiat;2010-01-01
1004011;10;04;01;1;Łęczyca;gmina miejska;2010-01-01
1004022;10;04;02;2;Daszyna;gmina wiejska;2010-01-01
1004032;10;04;03;2;Góra Świętej Małgorzaty;gmina wiejska;2010-01-01
1004042;10;04;04;2;Grabów;gmina wiejska;2010-01-01
1004052;10;04;05;2;Łęczyca;gmina wiejska;2010-01-01
1004062;10;04;06;2;Piątek;gmina wiejska;2010-01-01
1004072;10;04;07;2;Świnice Warckie;gmina wiejska;2010-01-01
1004082;10;04;08;2;Witonia;gmina wiejska;2010-01-01
1005000;10;05;00;0;łowicki;powiat;2010-01-01
1005011;10;05;01;1;Łowicz;gmina miejska;2010-01-01
1005022;10;05;02;2;Bielawy;gmina wiejska;2010-01-01
1005032;10;05;03;2;Chąśno;gmina wiejska;2010-01-01
1005042;10;05;04;2;Domaniewice;gmina wiejska;2010-01-01
1005052;10;05;05;2;Kiernozia;gmina wiejska;2010-01-01
1005062;10;05;06;2;Kocierzew Południowy;gmina wiejska;2010-01-01
1005072;10;05;07;2;Łowicz;gmina wiejska;2010-01-01
1005082;10;05;08;2;Łyszkowice;gmina wiejska;2010-01-01
1005092;10;05;09;2;Nieborów;gmina wiejska;2010-01-01
1005102;10;05;10;2;Zduny;gmina wiejska;2010-01-01
1006000;10;06;00;0;łódzki wschodni;powiat;2010-01-01
1006022;10;06;02;2;Andrespol;gmina wiejska;2010-01-01
1006032;10;06;03;2;Brójce;gmina wiejska;2010-01-01
1006073;10;06;07;3;Koluszki;gmina miejsko-wiejska;2010-01-01
1006074;10;06;07;4;Koluszki;miasto;2010-01-01
1006075;10;06;07;5;Koluszki;obszar wiejski;2010-01-01
1006082;10;06;08;2;Nowosolna;gmina wiejska;2010-01-01
1006103;10;06;10;3;Rzgów;gmina miejsko-wiejska;2010-01-01
1006104;10;06;10;4;Rzgów;miasto;2010-01-01
1006105;10;06;10;5;Rzgów;obszar wiejski;2010-01-01
1006113;10;06;11;3;Tuszyn;gmina miejsko-wiejska;2010-01-01
1006114;10;06;11;4;Tuszyn;miasto;2010-01-01
1006115;10;06;11;5;Tuszyn;obszar wiejski;2010-01-01
1007000;10;07;00;0;opoczyński;powiat;2010-01-01
1007012;10;07;01;2;Białaczów;gmina wiejska;2010-01-01
1007023;10;07;02;3;Drzewica;gmina miejsko-wiejska;2010-01-01
1007024;10;07;02;4;Drzewica;miasto;2010-01-01
1007025;10;07;02;5;Drzewica;obszar wiejski;2010-01-01
1007032;10;07;03;2;Mniszków;gmina wiejska;2010-01-01
1007043;10;07;04;3;Opoczno;gmina miejsko-wiejska;2010-01-01
1007044;10;07;04;4;Opoczno;miasto;2010-01-01
1007045;10;07;04;5;Opoczno;obszar wiejski;2010-01-01
1007052;10;07;05;2;Paradyż;gmina wiejska;2010-01-01
1007062;10;07;06;2;Poświętne;gmina wiejska;2010-01-01
1007072;10;07;07;2;Sławno;gmina wiejska;2010-01-01
1007082;10;07;08;2;Żarnów;gmina wiejska;2010-01-01
1008000;10;08;00;0;pabianicki;powiat;2010-01-01
1008011;10;08;01;1;Konstantynów Łódzki;gmina miejska;2010-01-01
1008021;10;08;02;1;Pabianice;gmina miejska;2010-01-01
1008032;10;08;03;2;Dłutów;gmina wiejska;2010-01-01
1008042;10;08;04;2;Dobroń;gmina wiejska;2010-01-01
1008052;10;08;05;2;Ksawerów;gmina wiejska;2010-01-01
1008062;10;08;06;2;Lutomiersk;gmina wiejska;2010-01-01
1008072;10;08;07;2;Pabianice;gmina wiejska;2010-01-01
1009000;10;09;00;0;pajęczański;powiat;2010-01-01
1009013;10;09;01;3;Działoszyn;gmina miejsko-wiejska;2010-01-01
1009014;10;09;01;4;Działoszyn;miasto;2010-01-01
1009015;10;09;01;5;Działoszyn;obszar wiejski;2010-01-01
1009022;10;09;02;2;Kiełczygłów;gmina wiejska;2010-01-01
1009032;10;09;03;2;Nowa Brzeźnica;gmina wiejska;2010-01-01
1009043;10;09;04;3;Pajęczno;gmina miejsko-wiejska;2010-01-01
1009044;10;09;04;4;Pajęczno;miasto;2010-01-01
1009045;10;09;04;5;Pajęczno;obszar wiejski;2010-01-01
1009052;10;09;05;2;Rząśnia;gmina wiejska;2010-01-01
1009062;10;09;06;2;Siemkowice;gmina wiejska;2010-01-01
1009072;10;09;07;2;Strzelce Wielkie;gmina wiejska;2010-01-01
1009082;10;09;08;2;Sulmierzyce;gmina wiejska;2010-01-01
1010000;10;10;00;0;piotrkowski;powiat;2010-01-01
1010012;10;10;01;2;Aleksandrów;gmina wiejska;2010-01-01
1010022;10;10;02;2;Czarnocin;gmina wiejska;2010-01-01
1010032;10;10;03;2;Gorzkowice;gmina wiejska;2010-01-01
1010042;10;10;04;2;Grabica;gmina wiejska;2010-01-01
1010052;10;10;05;2;Łęki Szlacheckie;gmina wiejska;2010-01-01
1010062;10;10;06;2;Moszczenica;gmina wiejska;2010-01-01
1010072;10;10;07;2;Ręczno;gmina wiejska;2010-01-01
1010082;10;10;08;2;Rozprza;gmina wiejska;2010-01-01
1010093;10;10;09;3;Sulejów;gmina miejsko-wiejska;2010-01-01
1010094;10;10;09;4;Sulejów;miasto;2010-01-01
1010095;10;10;09;5;Sulejów;obszar wiejski;2010-01-01
1010102;10;10;10;2;Wola Krzysztoporska;gmina wiejska;2010-01-01
1010112;10;10;11;2;Wolbórz;gmina wiejska;2010-01-01
1011000;10;11;00;0;poddębicki;powiat;2010-01-01
1011012;10;11;01;2;Dalików;gmina wiejska;2010-01-01
1011022;10;11;02;2;Pęczniew;gmina wiejska;2010-01-01
1011033;10;11;03;3;Poddębice;gmina miejsko-wiejska;2010-01-01
1011034;10;11;03;4;Poddębice;miasto;2010-01-01
1011035;10;11;03;5;Poddębice;obszar wiejski;2010-01-01
1011043;10;11;04;3;Uniejów;gmina miejsko-wiejska;2010-01-01
1011044;10;11;04;4;Uniejów;miasto;2010-01-01
1011045;10;11;04;5;Uniejów;obszar wiejski;2010-01-01
1011052;10;11;05;2;Wartkowice;gmina wiejska;2010-01-01
1011062;10;11;06;2;Zadzim;gmina wiejska;2010-01-01
1012000;10;12;00;0;radomszczański;powiat;2010-01-01
1012011;10;12;01;1;Radomsko;gmina miejska;2010-01-01
1012022;10;12;02;2;Dobryszyce;gmina wiejska;2010-01-01
1012032;10;12;03;2;Gidle;gmina wiejska;2010-01-01
1012042;10;12;04;2;Gomunice;gmina wiejska;2010-01-01
1012053;10;12;05;3;Kamieńsk;gmina miejsko-wiejska;2010-01-01
1012054;10;12;05;4;Kamieńsk;miasto;2010-01-01
1012055;10;12;05;5;Kamieńsk;obszar wiejski;2010-01-01
1012062;10;12;06;2;Kobiele Wielkie;gmina wiejska;2010-01-01
1012072;10;12;07;2;Kodrąb;gmina wiejska;2010-01-01
1012082;10;12;08;2;Lgota Wielka;gmina wiejska;2010-01-01
1012092;10;12;09;2;Ładzice;gmina wiejska;2010-01-01
1012102;10;12;10;2;Masłowice;gmina wiejska;2010-01-01
1012113;10;12;11;3;Przedbórz;gmina miejsko-wiejska;2010-01-01
1012114;10;12;11;4;Przedbórz;miasto;2010-01-01
1012115;10;12;11;5;Przedbórz;obszar wiejski;2010-01-01
1012122;10;12;12;2;Radomsko;gmina wiejska;2010-01-01
1012132;10;12;13;2;Wielgomłyny;gmina wiejska;2010-01-01
1012142;10;12;14;2;Żytno;gmina wiejska;2010-01-01
1013000;10;13;00;0;rawski;powiat;2010-01-01
1013011;10;13;01;1;Rawa Mazowiecka;gmina miejska;2010-01-01
1013023;10;13;02;3;Biała Rawska;gmina miejsko-wiejska;2010-01-01
1013024;10;13;02;4;Biała Rawska;miasto;2010-01-01
1013025;10;13;02;5;Biała Rawska;obszar wiejski;2010-01-01
1013032;10;13;03;2;Cielądz;gmina wiejska;2010-01-01
1013042;10;13;04;2;Rawa Mazowiecka;gmina wiejska;2010-01-01
1013052;10;13;05;2;Regnów;gmina wiejska;2010-01-01
1013062;10;13;06;2;Sadkowice;gmina wiejska;2010-01-01
1014000;10;14;00;0;sieradzki;powiat;2010-01-01
1014011;10;14;01;1;Sieradz;gmina miejska;2010-01-01
1014023;10;14;02;3;Błaszki;gmina miejsko-wiejska;2010-01-01
1014024;10;14;02;4;Błaszki;miasto;2010-01-01
1014025;10;14;02;5;Błaszki;obszar wiejski;2010-01-01
1014032;10;14;03;2;Brąszewice;gmina wiejska;2010-01-01
1014042;10;14;04;2;Brzeźnio;gmina wiejska;2010-01-01
1014052;10;14;05;2;Burzenin;gmina wiejska;2010-01-01
1014062;10;14;06;2;Goszczanów;gmina wiejska;2010-01-01
1014072;10;14;07;2;Klonowa;gmina wiejska;2010-01-01
1014082;10;14;08;2;Sieradz;gmina wiejska;2010-01-01
1014093;10;14;09;3;Warta;gmina miejsko-wiejska;2010-01-01
1014094;10;14;09;4;Warta;miasto;2010-01-01
1014095;10;14;09;5;Warta;obszar wiejski;2010-01-01
1014102;10;14;10;2;Wróblew;gmina wiejska;2010-01-01
1014113;10;14;11;3;Złoczew;gmina miejsko-wiejska;2010-01-01
1014114;10;14;11;4;Złoczew;miasto;2010-01-01
1014115;10;14;11;5;Złoczew;obszar wiejski;2010-01-01
1015000;10;15;00;0;skierniewicki;powiat;2010-01-01
1015012;10;15;01;2;Bolimów;gmina wiejska;2010-01-01
1015022;10;15;02;2;Głuchów;gmina wiejska;2010-01-01
1015032;10;15;03;2;Godzianów;gmina wiejska;2010-01-01
1015042;10;15;04;2;Kowiesy;gmina wiejska;2010-01-01
1015052;10;15;05;2;Lipce Reymontowskie;gmina wiejska;2010-01-01
1015062;10;15;06;2;Maków;gmina wiejska;2010-01-01
1015072;10;15;07;2;Nowy Kawęczyn;gmina wiejska;2010-01-01
1015082;10;15;08;2;Skierniewice;gmina wiejska;2010-01-01
1015092;10;15;09;2;Słupia;gmina wiejska;2010-01-01
1016000;10;16;00;0;tomaszowski;powiat;2010-01-01
1016011;10;16;01;1;Tomaszów Mazowiecki;gmina miejska;2010-01-01
1016022;10;16;02;2;Będków;gmina wiejska;2010-01-01
1016032;10;16;03;2;Budziszewice;gmina wiejska;2010-01-01
1016042;10;16;04;2;Czerniewice;gmina wiejska;2010-01-01
1016052;10;16;05;2;Inowłódz;gmina wiejska;2010-01-01
1016062;10;16;06;2;Lubochnia;gmina wiejska;2010-01-01
1016072;10;16;07;2;Rokiciny;gmina wiejska;2010-01-01
1016082;10;16;08;2;Rzeczyca;gmina wiejska;2010-01-01
1016092;10;16;09;2;Tomaszów Mazowiecki;gmina wiejska;2010-01-01
1016102;10;16;10;2;Ujazd;gmina wiejska;2010-01-01
1016112;10;16;11;2;Żelechlinek;gmina wiejska;2010-01-01
1017000;10;17;00;0;wieluński;powiat;2010-01-01
1017012;10;17;01;2;Biała;gmina wiejska;2010-01-01
1017022;10;17;02;2;Czarnożyły;gmina wiejska;2010-01-01
1017032;10;17;03;2;Konopnica;gmina wiejska;2010-01-01
1017042;10;17;04;2;Mokrsko;gmina wiejska;2010-01-01
1017052;10;17;05;2;Osjaków;gmina wiejska;2010-01-01
1017062;10;17;06;2;Ostrówek;gmina wiejska;2010-01-01
1017072;10;17;07;2;Pątnów;gmina wiejska;2010-01-01
1017082;10;17;08;2;Skomlin;gmina wiejska;2010-01-01
1017093;10;17;09;3;Wieluń;gmina miejsko-wiejska;2010-01-01
1017094;10;17;09;4;Wieluń;miasto;2010-01-01
1017095;10;17;09;5;Wieluń;obszar wiejski;2010-01-01
1017102;10;17;10;2;Wierzchlas;gmina wiejska;2010-01-01
1018000;10;18;00;0;wieruszowski;powiat;2010-01-01
1018012;10;18;01;2;Bolesławiec;gmina wiejska;2010-01-01
1018022;10;18;02;2;Czastary;gmina wiejska;2010-01-01
1018032;10;18;03;2;Galewice;gmina wiejska;2010-01-01
1018042;10;18;04;2;Lututów;gmina wiejska;2010-01-01
1018052;10;18;05;2;Łubnice;gmina wiejska;2010-01-01
1018062;10;18;06;2;Sokolniki;gmina wiejska;2010-01-01
1018073;10;18;07;3;Wieruszów;gmina miejsko-wiejska;2010-01-01
1018074;10;18;07;4;Wieruszów;miasto;2010-01-01
1018075;10;18;07;5;Wieruszów;obszar wiejski;2010-01-01
1019000;10;19;00;0;zduńskowolski;powiat;2010-01-01
1019011;10;19;01;1;Zduńska Wola;gmina miejska;2010-01-01
1019023;10;19;02;3;Szadek;gmina miejsko-wiejska;2010-01-01
1019024;10;19;02;4;Szadek;miasto;2010-01-01
1019025;10;19;02;5;Szadek;obszar wiejski;2010-01-01
1019032;10;19;03;2;Zapolice;gmina wiejska;2010-01-01
1019042;10;19;04;2;Zduńska Wola;gmina wiejska;2010-01-01
1020000;10;20;00;0;zgierski;powiat;2010-01-01
1020011;10;20;01;1;Głowno;gmina miejska;2010-01-01
1020021;10;20;02;1;Ozorków;gmina miejska;2010-01-01
1020031;10;20;03;1;Zgierz;gmina miejska;2010-01-01
1020043;10;20;04;3;Aleksandrów Łódzki;gmina miejsko-wiejska;2010-01-01
1020044;10;20;04;4;Aleksandrów Łódzki;miasto;2010-01-01
1020045;10;20;04;5;Aleksandrów Łódzki;obszar wiejski;2010-01-01
1020052;10;20;05;2;Głowno;gmina wiejska;2010-01-01
1020062;10;20;06;2;Ozorków;gmina wiejska;2010-01-01
1020072;10;20;07;2;Parzęczew;gmina wiejska;2010-01-01
1020083;10;20;08;3;Stryków;gmina miejsko-wiejska;2010-01-01
1020084;10;20;08;4;Stryków;miasto;2010-01-01
1020085;10;20;08;5;Stryków;obszar wiejski;2010-01-01
1020092;10;20;09;2;Zgierz;gmina wiejska;2010-01-01
1021000;10;21;00;0;brzeziński;powiat;2010-01-01
1021011;10;21;01;1;Brzeziny;gmina miejska;2010-01-01
1021022;10;21;02;2;Brzeziny;gmina wiejska;2010-01-01
1021032;10;21;03;2;Dmosin;gmina wiejska;2010-01-01
1021042;10;21;04;2;Jeżów;gmina wiejska;2010-01-01
1021052;10;21;05;2;Rogów;gmina wiejska;2010-01-01
1061000;10;61;00;0;Łódź;miasto na prawach powiatu;2010-01-01
1061011;10;61;01;1;Łódź;gmina miejska;2010-01-01
1061029;10;61;02;9;Łódź-Bałuty;delegatura;2010-01-01
1061039;10;61;03;9;Łódź-Górna;delegatura;2010-01-01
1061049;10;61;04;9;Łódź-Polesie;delegatura;2010-01-01
1061059;10;61;05;9;Łódź-Śródmieście;delegatura;2010-01-01
1061069;10;61;06;9;Łódź-Widzew;delegatura;2010-01-01
1062000;10;62;00;0;Piotrków Trybunalski;miasto na prawach powiatu;2010-01-01
1062011;10;62;01;1;Piotrków Trybunalski;gmina miejska;2010-01-01
1063000;10;63;00;0;Skierniewice;miasto na prawach powiatu;2010-01-01
1063011;10;63;01;1;Skierniewice;gmina miejska;2010-01-01
1200000;12;00;00;0;MAŁOPOLSKIE;województwo;2010-01-01
1201000;12;01;00;0;bocheński;powiat;2010-01-01
1201011;12;01;01;1;Bochnia;gmina miejska;2010-01-01
1201022;12;01;02;2;Bochnia;gmina wiejska;2010-01-01
1201032;12;01;03;2;Drwinia;gmina wiejska;2010-01-01
1201042;12;01;04;2;Lipnica Murowana;gmina wiejska;2010-01-01
1201052;12;01;05;2;Łapanów;gmina wiejska;2010-01-01
1201063;12;01;06;3;Nowy Wiśnicz;gmina miejsko-wiejska;2010-01-01
1201064;12;01;06;4;Nowy Wiśnicz;miasto;2010-01-01
1201065;12;01;06;5;Nowy Wiśnicz;obszar wiejski;2010-01-01
1201072;12;01;07;2;Rzezawa;gmina wiejska;2010-01-01
1201082;12;01;08;2;Trzciana;gmina wiejska;2010-01-01
1201092;12;01;09;2;Żegocina;gmina wiejska;2010-01-01
1202000;12;02;00;0;brzeski;powiat;2010-01-01
1202012;12;02;01;2;Borzęcin;gmina wiejska;2010-01-01
1202023;12;02;02;3;Brzesko;gmina miejsko-wiejska;2010-01-01
1202024;12;02;02;4;Brzesko;miasto;2010-01-01
1202025;12;02;02;5;Brzesko;obszar wiejski;2010-01-01
1202033;12;02;03;3;Czchów;gmina miejsko-wiejska;2010-01-01
1202034;12;02;03;4;Czchów;miasto;2010-01-01
1202035;12;02;03;5;Czchów;obszar wiejski;2010-01-01
1202042;12;02;04;2;Dębno;gmina wiejska;2010-01-01
1202052;12;02;05;2;Gnojnik;gmina wiejska;2010-01-01
1202062;12;02;06;2;Iwkowa;gmina wiejska;2010-01-01
1202072;12;02;07;2;Szczurowa;gmina wiejska;2010-01-01
1203000;12;03;00;0;chrzanowski;powiat;2010-01-01
1203013;12;03;01;3;Alwernia;gmina miejsko-wiejska;2010-01-01
1203014;12;03;01;4;Alwernia;miasto;2010-01-01
1203015;12;03;01;5;Alwernia;obszar wiejski;2010-01-01
1203022;12;03;02;2;Babice;gmina wiejska;2010-01-01
1203033;12;03;03;3;Chrzanów;gmina miejsko-wiejska;2010-01-01
1203034;12;03;03;4;Chrzanów;miasto;2010-01-01
1203035;12;03;03;5;Chrzanów;obszar wiejski;2010-01-01
1203043;12;03;04;3;Libiąż;gmina miejsko-wiejska;2010-01-01
1203044;12;03;04;4;Libiąż;miasto;2010-01-01
1203045;12;03;04;5;Libiąż;obszar wiejski;2010-01-01
1203053;12;03;05;3;Trzebinia;gmina miejsko-wiejska;2010-01-01
1203054;12;03;05;4;Trzebinia;miasto;2010-01-01
1203055;12;03;05;5;Trzebinia;obszar wiejski;2010-01-01
1204000;12;04;00;0;dąbrowski;powiat;2010-01-01
1204012;12;04;01;2;Bolesław;gmina wiejska;2010-01-01
1204023;12;04;02;3;Dąbrowa Tarnowska;gmina miejsko-wiejska;2010-01-01
1204024;12;04;02;4;Dąbrowa Tarnowska;miasto;2010-01-01
1204025;12;04;02;5;Dąbrowa Tarnowska;obszar wiejski;2010-01-01
1204032;12;04;03;2;Gręboszów;gmina wiejska;2010-01-01
1204042;12;04;04;2;Mędrzechów;gmina wiejska;2010-01-01
1204052;12;04;05;2;Olesno;gmina wiejska;2010-01-01
1204062;12;04;06;2;Radgoszcz;gmina wiejska;2010-01-01
1204073;12;04;07;3;Szczucin;gmina miejsko-wiejska;2010-01-01
1204074;12;04;07;4;Szczucin;miasto;2010-01-01
1204075;12;04;07;5;Szczucin;obszar wiejski;2010-01-01
1205000;12;05;00;0;gorlicki;powiat;2010-01-01
1205011;12;05;01;1;Gorlice;gmina miejska;2010-01-01
1205023;12;05;02;3;Biecz;gmina miejsko-wiejska;2010-01-01
1205024;12;05;02;4;Biecz;miasto;2010-01-01
1205025;12;05;02;5;Biecz;obszar wiejski;2010-01-01
1205033;12;05;03;3;Bobowa;gmina miejsko-wiejska;2010-01-01
1205034;12;05;03;4;Bobowa;miasto;2010-01-01
1205035;12;05;03;5;Bobowa;obszar wiejski;2010-01-01
1205042;12;05;04;2;Gorlice;gmina wiejska;2010-01-01
1205052;12;05;05;2;Lipinki;gmina wiejska;2010-01-01
1205062;12;05;06;2;Łużna;gmina wiejska;2010-01-01
1205072;12;05;07;2;Moszczenica;gmina wiejska;2010-01-01
1205082;12;05;08;2;Ropa;gmina wiejska;2010-01-01
1205092;12;05;09;2;Sękowa;gmina wiejska;2010-01-01
1205102;12;05;10;2;Uście Gorlickie;gmina wiejska;2010-01-01
1206000;12;06;00;0;krakowski;powiat;2010-01-01
1206012;12;06;01;2;Czernichów;gmina wiejska;2010-01-01
1206022;12;06;02;2;Igołomia-Wawrzeńczyce;gmina wiejska;2010-01-01
1206032;12;06;03;2;Iwanowice;gmina wiejska;2010-01-01
1206042;12;06;04;2;Jerzmanowice-Przeginia;gmina wiejska;2010-01-01
1206052;12;06;05;2;Kocmyrzów-Luborzyca;gmina wiejska;2010-01-01
1206063;12;06;06;3;Krzeszowice;gmina miejsko-wiejska;2010-01-01
1206064;12;06;06;4;Krzeszowice;miasto;2010-01-01
1206065;12;06;06;5;Krzeszowice;obszar wiejski;2010-01-01
1206072;12;06;07;2;Liszki;gmina wiejska;2010-01-01
1206082;12;06;08;2;Michałowice;gmina wiejska;2010-01-01
1206092;12;06;09;2;Mogilany;gmina wiejska;2010-01-01
1206103;12;06;10;3;Skała;gmina miejsko-wiejska;2010-01-01
1206104;12;06;10;4;Skała;miasto;2010-01-01
1206105;12;06;10;5;Skała;obszar wiejski;2010-01-01
1206113;12;06;11;3;Skawina;gmina miejsko-wiejska;2010-01-01
1206114;12;06;11;4;Skawina;miasto;2010-01-01
1206115;12;06;11;5;Skawina;obszar wiejski;2010-01-01
1206123;12;06;12;3;Słomniki;gmina miejsko-wiejska;2010-01-01
1206124;12;06;12;4;Słomniki;miasto;2010-01-01
1206125;12;06;12;5;Słomniki;obszar wiejski;2010-01-01
1206132;12;06;13;2;Sułoszowa;gmina wiejska;2010-01-01
1206143;12;06;14;3;Świątniki Górne;gmina miejsko-wiejska;2010-01-01
1206144;12;06;14;4;Świątniki Górne;miasto;2010-01-01
1206145;12;06;14;5;Świątniki Górne;obszar wiejski;2010-01-01
1206152;12;06;15;2;Wielka Wieś;gmina wiejska;2010-01-01
1206162;12;06;16;2;Zabierzów;gmina wiejska;2010-01-01
1206172;12;06;17;2;Zielonki;gmina wiejska;2010-01-01
1207000;12;07;00;0;limanowski;powiat;2010-01-01
1207011;12;07;01;1;Limanowa;gmina miejska;2010-01-01
1207021;12;07;02;1;Mszana Dolna;gmina miejska;2010-01-01
1207032;12;07;03;2;Dobra;gmina wiejska;2010-01-01
1207042;12;07;04;2;Jodłownik;gmina wiejska;2010-01-01
1207052;12;07;05;2;Kamienica;gmina wiejska;2010-01-01
1207062;12;07;06;2;Laskowa;gmina wiejska;2010-01-01
1207072;12;07;07;2;Limanowa;gmina wiejska;2010-01-01
1207082;12;07;08;2;Łukowica;gmina wiejska;2010-01-01
1207092;12;07;09;2;Mszana Dolna;gmina wiejska;2010-01-01
1207102;12;07;10;2;Niedźwiedź;gmina wiejska;2010-01-01
1207112;12;07;11;2;Słopnice;gmina wiejska;2010-01-01
1207122;12;07;12;2;Tymbark;gmina wiejska;2010-01-01
1208000;12;08;00;0;miechowski;powiat;2010-01-01
1208012;12;08;01;2;Charsznica;gmina wiejska;2010-01-01
1208022;12;08;02;2;Gołcza;gmina wiejska;2010-01-01
1208032;12;08;03;2;Kozłów;gmina wiejska;2010-01-01
1208042;12;08;04;2;Książ Wielki;gmina wiejska;2010-01-01
1208053;12;08;05;3;Miechów;gmina miejsko-wiejska;2010-01-01
1208054;12;08;05;4;Miechów;miasto;2010-01-01
1208055;12;08;05;5;Miechów;obszar wiejski;2010-01-01
1208062;12;08;06;2;Racławice;gmina wiejska;2010-01-01
1208072;12;08;07;2;Słaboszów;gmina wiejska;2010-01-01
1209000;12;09;00;0;myślenicki;powiat;2010-01-01
1209013;12;09;01;3;Dobczyce;gmina miejsko-wiejska;2010-01-01
1209014;12;09;01;4;Dobczyce;miasto;2010-01-01
1209015;12;09;01;5;Dobczyce;obszar wiejski;2010-01-01
1209022;12;09;02;2;Lubień;gmina wiejska;2010-01-01
1209033;12;09;03;3;Myślenice;gmina miejsko-wiejska;2010-01-01
1209034;12;09;03;4;Myślenice;miasto;2010-01-01
1209035;12;09;03;5;Myślenice;obszar wiejski;2010-01-01
1209042;12;09;04;2;Pcim;gmina wiejska;2010-01-01
1209052;12;09;05;2;Raciechowice;gmina wiejska;2010-01-01
1209062;12;09;06;2;Siepraw;gmina wiejska;2010-01-01
1209073;12;09;07;3;Sułkowice;gmina miejsko-wiejska;2010-01-01
1209074;12;09;07;4;Sułkowice;miasto;2010-01-01
1209075;12;09;07;5;Sułkowice;obszar wiejski;2010-01-01
1209082;12;09;08;2;Tokarnia;gmina wiejska;2010-01-01
1209092;12;09;09;2;Wiśniowa;gmina wiejska;2010-01-01
1210000;12;10;00;0;nowosądecki;powiat;2010-01-01
1210011;12;10;01;1;Grybów;gmina miejska;2010-01-01
1210022;12;10;02;2;Chełmiec;gmina wiejska;2010-01-01
1210032;12;10;03;2;Gródek nad Dunajcem;gmina wiejska;2010-01-01
1210042;12;10;04;2;Grybów;gmina wiejska;2010-01-01
1210052;12;10;05;2;Kamionka Wielka;gmina wiejska;2010-01-01
1210062;12;10;06;2;Korzenna;gmina wiejska;2010-01-01
